"","store_name","store_type","store_addr","store_lat","store_lon","store_rating"
"91","La Caperucita y el Lobo","restaurant","Ferrari 75. Cerro Florida, Valparaíso, Región de Valparaíso, Chile","-33.0482569","-71.6201899","4.4"
"101","Casa Luisa","restaurant","Almirante Montt 533, Valparaíso, Región de Valparaíso, Chile","-33.0438747","-71.62895","4.5"
"111","Hotzenplotz","bar","Héctor Calvo 331, Valparaíso, Región de Valparaíso, Chile","-33.048312","-71.6224872","4.6"
"121","IL PAPARAZZO","restaurant","Papudo 424, Valparaíso, Región de Valparaíso, Chile","-33.041318","-71.6269711","4.5"
"131","La Colombina","restaurant","Paseo Yugoslavo 15, Valparaíso, Región de Valparaíso, Chile","-33.0405204","-71.62839","3.7"
"141","Apice","restaurant","Almirante Montt 462, Valparaíso, Región de Valparaíso, Chile","-33.0436046","-71.628329","5"
"151","Restaurante Brecons","bar","Urriola 518, Valparaíso, Región de Valparaíso, Chile","-33.0418291","-71.6286958","4.7"
"161","Café Plaza Moro","restaurant","Ricardo de Ferrari, Valparaíso, Región de Valparaíso, Chile","-33.0525546","-71.6220352","4.6"
"171","PortoViejo","restaurant","Cochrane 99, Valparaíso, Quinta Región de Valparaíso, Chile","-33.0355602","-71.6302077","4.3"
"181","Café del Poeta","restaurant","Valparaíso, Valparaiso Region, Chile","-33.043036","-71.624316","4.1"
"191","Los Chile´S Mexicanos","bar","Almirante Montt 249, Cerro Alegre, Quinta Región de Valparaíso, Chile","-33.043052","-71.627308","4.5"
"201","Gente Feliz Cafetería","cafe","Monte Alegre 592, Plazuela San Luis, Cerro Alegre, Valparaiso, Chile., Valparaíso, Región de Valparaíso, Chile","-33.044126","-71.631121","4.3"
"211","Espíritu Santo","restaurant","Hector Calvo, 392 - Cerro Bellavista, Valparaíso, Región de Valparaíso, Chile","-33.0488757","-71.6224248","4.7"
"221","Le Filou de Montpellier","restaurant","Almirante Montt 382, Valparaíso, Región de Valparaíso, Chile","-33.0429919","-71.6279545","3.9"
"231","La Playa","restaurant","Serrano 567, Valparaíso, Región de Valparaíso, Chile","-33.0383586","-71.6295319","3.9"
"241","Taulat - tapas.copas","bar","Dr José Grossi 268, Valparaíso, Región de Valparaíso, Chile","-33.043585","-71.6277441","4.3"
"251","SaborColor Resto/Art y Cafeteria","cafe","Cerro Concepción - Papudo, Valparaíso, Quinta Región de Valparaíso, Chile","-33.0425759","-71.6281024","4.6"
"271","Fauna Valparaiso","lodging","Paseo Dimalow 166, Valparaíso, Quinta Región de Valparaíso, Chile","-33.0438243","-71.6272133","4.2"
"281","Restaurant O'Higgins","restaurant","Retamo 517, Valparaíso, Región de Valparaíso, Chile","-33.0488859","-71.6068117","4.3"
